iter	Passed	Remaining
0	1	1589
1	3	1512
2	4	1523
3	6	1509
4	7	1536
5	9	1527
6	11	1566
7	12	1541
8	13	1523
9	15	1508
10	16	1523
11	18	1509
12	19	1496
13	21	1492
14	23	1515
15	24	1516
16	26	1507
17	27	1498
18	29	1543
19	31	1531
20	32	1534
21	34	1523
22	35	1527
23	38	1572
24	40	1573
25	42	1579
26	43	1571
27	45	1570
28	46	1562
29	48	1575
30	50	1572
31	51	1570
32	54	1591
33	57	1629
34	58	1626
35	61	1652
36	63	1659
37	65	1665
38	67	1660
39	69	1656
40	70	1655
41	72	1651
42	74	1654
43	75	1648
44	77	1644
45	79	1638
46	80	1630
47	82	1628
48	83	1622
49	85	1616
50	86	1608
51	87	1597
52	88	1589
53	90	1581
54	91	1575
55	92	1565
56	94	1556
57	95	1547
58	96	1538
59	97	1530
60	98	1520
61	99	1509
62	100	1502
63	102	1493
64	103	1487
65	104	1480
66	105	1472
67	106	1466
68	108	1460
69	109	1459
70	111	1453
71	112	1444
72	113	1439
73	114	1433
74	115	1429
75	117	1425
76	118	1417
77	119	1413
78	120	1408
79	122	1404
80	123	1399
81	124	1393
82	125	1382
83	126	1379
84	127	1375
85	129	1371
86	130	1366
87	131	1362
88	132	1359
89	134	1355
90	135	1353
91	136	1348
92	137	1344
93	139	1341
94	140	1337
95	141	1334
96	142	1331
97	144	1328
98	145	1326
99	147	1324
100	148	1321
101	149	1317
102	150	1314
103	152	1310
104	153	1308
105	154	1304
106	156	1302
107	157	1299
108	158	1296
109	160	1295
110	161	1291
111	162	1287
112	163	1284
113	164	1281
114	166	1278
115	167	1274
116	168	1268
117	169	1265
118	170	1262
119	171	1259
120	172	1256
121	173	1251
122	175	1248
123	176	1244
124	177	1241
125	178	1238
126	179	1233
127	180	1229
128	181	1226
129	182	1223
130	184	1221
131	185	1218
132	186	1214
133	187	1211
134	188	1210
135	190	1207
136	191	1205
137	192	1202
138	193	1199
139	194	1196
140	196	1195
141	197	1190
142	198	1187
143	199	1184
144	200	1182
145	201	1179
146	203	1178
147	204	1175
148	205	1172
149	206	1170
150	207	1167
151	208	1165
152	210	1163
153	211	1160
154	212	1159
155	213	1156
156	214	1154
157	216	1152
158	217	1149
159	218	1148
160	219	1143
161	220	1141
162	221	1139
163	223	1137
164	224	1134
165	225	1132
166	226	1130
167	227	1129
168	229	1127
169	230	1124
170	231	1122
171	232	1120
172	233	1118
173	234	1115
174	236	1113
175	237	1111
176	238	1109
177	239	1107
178	241	1106
179	242	1103
180	243	1102
181	244	1100
182	246	1098
183	247	1096
184	248	1094
185	249	1091
186	250	1090
187	252	1088
188	253	1086
189	254	1084
190	255	1083
191	256	1081
192	258	1081
193	260	1080
194	263	1086
195	265	1088
196	266	1087
197	269	1092
198	271	1092
199	273	1092
200	276	1099
201	277	1098
202	279	1096
203	280	1093
204	281	1091
205	282	1089
206	283	1087
207	285	1085
208	286	1083
209	287	1081
210	288	1079
211	289	1077
212	291	1075
213	292	1073
214	293	1071
215	294	1069
216	296	1068
217	297	1066
218	298	1065
219	300	1064
220	302	1065
221	303	1064
222	305	1063
223	306	1062
224	308	1062
225	309	1060
226	310	1058
227	312	1056
228	313	1055
229	314	1053
230	315	1051
231	316	1049
232	318	1047
233	319	1045
234	320	1043
235	321	1042
236	323	1042
237	324	1040
238	326	1039
239	327	1037
240	328	1035
241	330	1034
242	331	1032
243	332	1031
244	334	1029
245	335	1027
246	336	1025
247	337	1023
248	338	1022
249	340	1020
250	341	1018
251	342	1016
252	343	1014
253	344	1013
254	346	1011
255	347	1009
256	348	1007
257	349	1005
258	350	1003
259	352	1002
260	353	1000
261	354	997
262	355	996
263	356	994
264	358	993
265	359	991
266	360	989
267	361	987
268	362	985
269	363	983
270	364	981
271	365	979
272	367	977
273	368	975
274	369	973
275	370	971
276	371	969
277	372	967
278	373	965
279	374	963
280	376	962
281	377	960
282	378	958
283	379	957
284	380	955
285	382	954
286	383	952
287	384	950
288	385	948
289	386	947
290	388	945
291	389	943
292	390	941
293	391	939
294	392	938
295	393	936
296	395	935
297	396	934
298	397	932
299	398	930
300	400	929
301	401	927
302	402	926
303	403	924
304	404	922
305	406	921
306	407	919
307	408	917
308	409	916
309	410	914
310	412	912
311	413	910
312	414	909
313	415	908
314	416	906
315	417	904
316	419	903
317	420	901
318	421	900
319	423	899
320	424	898
321	426	897
322	427	895
323	428	894
324	430	893
325	431	891
326	432	890
327	433	889
328	435	887
329	436	885
330	437	884
331	438	883
332	440	881
333	441	879
334	442	878
335	443	876
336	444	875
337	446	873
338	447	872
339	448	870
340	449	868
341	450	867
342	451	865
343	453	864
344	454	862
345	455	861
346	456	859
347	458	858
348	459	856
349	460	854
350	461	853
351	462	852
352	464	850
353	465	849
354	466	847
355	467	846
356	468	844
357	470	843
358	471	841
359	472	839
360	473	838
361	474	836
362	476	835
363	477	833
364	478	832
365	479	830
366	480	829
367	482	827
368	483	826
369	484	824
370	485	823
371	486	821
372	488	820
373	489	819
374	490	817
375	491	816
376	493	814
377	494	813
378	495	811
379	496	810
380	497	808
381	498	807
382	499	805
383	501	803
384	502	802
385	503	800
386	504	799
387	505	797
388	507	796
389	508	794
390	509	793
391	510	791
392	511	790
393	512	789
394	514	787
395	515	785
396	516	784
397	517	782
398	518	781
399	520	780
400	521	778
401	522	777
402	523	775
403	524	774
404	526	772
405	527	771
406	528	769
407	529	768
408	530	767
409	532	765
410	533	764
411	534	763
412	536	761
413	537	760
414	538	758
415	539	757
